#{"t_start": 1774499007.4843695, "env_id": "None"}
r,l,t
97.995953,249,44712.343132
146.138931,241,44740.56643
132.102933,200,44764.22825
137.48052,153,44782.345826
132.71068,256,44812.475666
130.160823,116,44826.613917
132.917539,198,44850.057871
131.257401,172,44870.536755
36.422296,249,44899.841242
112.688535,55,44906.860545
125.171311,144,44924.017203
141.893317,213,44949.045948
146.289922,145,44968.231139
-117.215589,147,44985.840269
109.376492,79,44995.598556
106.751111,156,45014.279368
-112.302624,182,45035.886542
171.527403,342,45075.946545
135.277244,189,45100.386216
44.353272,249,45129.597691
-103.23951,159,45148.563811
-108.339584,122,45163.32216
113.256623,50,45169.795953
123.635277,83,45181.802333
134.053793,133,45197.797223
-101.365163,180,45219.101693
-95.619332,122,45233.86866
137.158886,192,45256.557107
-114.37954,134,45272.63657
-128.794908,211,45297.481429
-139.521436,126,45312.589952
129.526609,169,45332.73624
118.824602,82,45342.83774
87.579829,226,45371.325182
154.45581,235,45398.972246
148.798546,196,45422.142315
120.941763,85,45432.60587
-95.787388,146,45450.096378
-95.36694,130,45465.76391
94.651158,250,45495.179947
127.192813,111,45508.653333
127.959018,201,45532.42324
114.258034,81,45542.387616
-97.061184,169,45562.360442
-72.247209,170,45584.499616
-96.596921,158,45603.305959
138.356715,167,45623.027396
152.094006,196,45646.264139
-89.945076,123,45661.033117
90.83045,150,45678.95761
-142.983514,227,45705.780289
-636.614946,193,46074.598371
124.558689,101,46088.700791
-91.013638,77,46098.234795
124.513004,130,46115.648568
92.781662,163,46135.103118
-91.217329,119,46149.4902
108.683246,174,46170.300684
-125.314694,153,46188.720354
-83.51575,202,46212.622296
115.14613,81,46222.567336
119.064229,122,46237.214036
-82.588193,141,46254.135997
76.591319,172,46274.448298
126.153917,125,46289.460762
112.142554,506,46348.25765
120.053732,103,46362.630244
127.546569,126,46377.942348
120.245495,99,46389.978669
133.054568,134,46406.077002
124.966879,120,46420.695062
-96.11326,123,46438.253372
111.13789,151,46456.41902
-79.583766,268,46487.93361
-91.680226,114,46501.732347
122.859971,78,46513.2037
108.915643,59,46522.490078
-49.121975,600,46592.507179
85.112755,210,46617.531845
111.784628,93,46628.925281
114.458274,62,46636.726823
-60.651358,291,46670.943334
-106.400552,77,46680.581774
-103.27419,98,46692.653514
99.433029,101,46705.017798
116.30224,87,46717.588578
-87.563806,153,46737.627774
162.005452,248,46766.95223
-79.196343,176,46788.036455
-89.642287,166,46807.87817
-95.393061,138,46826.27784
-107.015077,109,46839.601736
-95.3107,150,46857.67456
104.279005,336,46897.127186
-86.872093,148,46916.682371
118.267631,42,46922.256902
-102.509397,133,46940.357754
76.523611,219,46966.281376
92.208124,174,46988.913566
118.100776,116,47003.02145
129.291893,118,47017.302952
116.798559,84,47027.634904
-95.33423,87,47038.43815
-101.817091,142,47055.404449
-87.219898,88,47066.273194
147.081544,172,47086.697412
113.524782,311,47123.131809
-102.516885,115,47138.905506
124.885067,208,47163.580643
129.495593,183,47185.297616
-97.075689,81,47195.334346
117.666251,169,47215.558694
-112.7476,76,47225.033786
131.406611,139,47241.739162
153.311094,152,47259.92564
121.996572,56,47267.134352
-111.008197,101,47279.423848
146.499672,145,47296.659985
-542.52186,5,47583.390815
105.981622,133,47599.322086
131.093611,89,47610.260838
-89.1775,108,47623.321604
-94.275956,160,47642.493584
-116.162654,114,47656.306019
137.223896,148,47673.951668
138.88424,174,47694.563014
-105.987729,110,47707.906597
-101.615096,130,47725.584445
122.470035,71,47734.427273
125.337176,264,47765.44365
118.502475,240,47793.726931
117.39932,60,47801.299432
133.010935,149,47819.151184
111.748696,43,47824.848443
114.317819,137,47841.252589
114.651043,40,47846.564532
152.897777,234,47874.339556
127.801645,159,47893.267689
110.164345,57,47900.50097
137.991413,172,47920.965969
-101.08716,76,47930.431089
128.198768,193,47953.415346
-89.16051,82,47963.613437
-93.489063,136,47979.975675
128.759402,95,47991.508355
148.555876,195,48014.48982
-97.433292,128,48029.898302
-95.475735,125,48044.997083
-81.408595,162,48064.252218
147.830084,162,48083.560873
-77.635348,157,48102.26728
118.563927,60,48109.982797
152.363649,190,48132.416049
113.18356,76,48141.828443
-89.089127,125,48156.900523
-118.830573,138,48173.597448
135.730786,96,48185.292144
112.506614,193,48210.076609
132.963752,177,48231.098077
89.103422,218,48256.786723
-82.022773,108,48269.986951
64.734694,260,48300.589746
-99.837277,205,48324.849545
-99.180362,94,48336.367817
-80.33116,180,48357.728206
106.20049,131,48373.454298
-98.294766,71,48382.338132
-114.955668,110,48395.667235
-71.703926,108,48408.749004
-80.740592,212,48433.776063
122.07955,60,48441.366791
-83.576371,128,48456.731856
-100.094631,108,48469.857427
135.844674,124,48484.789827
-91.934545,101,48497.063558
142.824404,151,48515.228473
50.477388,283,48548.420374
175.537248,196,48573.499691
-101.906959,115,48587.314947
115.206627,100,48599.515126
145.168952,270,48631.137195
94.440308,158,48649.998659
-88.02761,85,48662.292285
107.57837,146,48679.759626
131.087167,132,48695.618498
-50.979295,258,48728.07658
104.911445,84,48738.442058
127.103174,72,48747.360271
138.291569,154,48765.701888
