#{"t_start": 1774620676.1220536, "env_id": "None"}
r,l,t
-58.346685,66,12034.501558
155.215884,55,12041.020991
121.652547,32,12045.10745
175.281989,93,12055.598602
-76.125464,90,12065.800739
-94.773893,63,12073.121753
-70.335852,64,12080.562484
122.846175,35,12084.964573
142.952924,40,12089.89578
136.67004,53,12097.978274
133.367215,67,12105.75059
-131.130459,96,12116.564133
156.235286,147,12132.731124
-151.845633,174,12151.748087
128.774356,45,12157.191367
172.743718,96,12169.80213
183.857447,106,12183.472167
115.838992,34,12187.755733
153.582199,70,12197.646432
122.823576,37,12202.241999
125.632644,45,12207.691511
161.934321,97,12218.613385
143.017537,60,12225.631185
138.399985,55,12232.122654
-81.848108,53,12238.425976
101.569547,143,12254.217107
-58.688687,69,12263.978129
116.305613,67,12271.753257
-85.528735,65,12281.089849
122.843269,61,12288.209822
144.712717,50,12294.180822
150.965995,55,12300.697789
140.574002,58,12307.513546
-57.170805,78,12316.430257
-85.432763,51,12322.549764
136.712884,59,12329.454475
158.573707,85,12340.892831
143.442517,59,12347.806562
-63.97128,151,12364.408122
164.550496,84,12374.041505
-59.864981,104,12385.70963
-91.961251,77,12394.519534
160.926419,62,12401.759539
133.364087,49,12407.652101
137.577759,58,12414.47751
130.957197,78,12425.191326
190.027034,140,12440.647462
105.792793,42,12447.578151
116.132432,42,12452.702746
153.860001,79,12461.709241
166.548123,88,12471.672408
120.442188,35,12476.073699
-64.702315,101,12487.428337
-101.262469,55,12494.020641
114.727719,31,12499.801198
-90.030931,56,12506.398796
126.13691,68,12514.272144
113.575162,30,12518.13612
120.072437,62,12525.367678
114.192238,29,12530.931909
138.361379,76,12539.648014
-87.414059,34,12543.926322
-87.190268,65,12551.473707
168.823083,88,12563.241127
164.639284,76,12571.935493
135.037671,55,12578.434017
131.820273,63,12585.882475
-68.289959,46,12591.439234
138.4209,38,12596.161553
-45.303175,83,12605.604627
146.616923,69,12613.575166
126.352216,52,12619.755018
150.496573,78,12628.671996
137.919687,94,12639.271041
-246.323351,29,12781.009827
-101.1,1,12781.833204
121.313661,38,12786.537916
89.350051,135,12801.520209
-36.713623,153,12818.414259
115.930328,38,12823.127545
-68.164266,103,12834.684848
124.612442,37,12839.296636
143.511484,57,12846.007719
-106.562434,65,12853.565031
155.2223,58,12860.433728
146.009492,60,12867.455543
167.483341,70,12875.533602
129.831042,52,12881.795383
125.950899,67,12889.558422
-68.073648,44,12894.95706
152.759981,66,12902.61433
124.621035,40,12907.547256
-73.26614,47,12913.271985
133.92824,84,12924.622526
156.323555,84,12934.198009
136.226509,59,12941.108615
122.425218,41,12946.134869
-92.805307,79,12955.161881
-72.885333,95,12965.862605
120.887136,21,12968.785488
128.640747,32,12972.858484
171.134326,139,12990.003433
146.858249,139,13005.332095
121.460963,23,13008.461249
-91.017473,64,13015.896101
115.305193,47,13021.545803
118.415914,109,13033.710526
134.269143,40,13038.62691
123.795311,32,13042.735734
153.643592,79,13051.770238
143.094767,88,13061.742363
-86.213296,40,13066.675184
-105.946014,84,13076.248437
123.85016,44,13083.381466
150.709647,78,13092.30622
-79.369237,63,13101.44591
-82.279368,60,13108.472563
-78.332968,57,13116.983402
136.631957,52,13123.159467
142.822569,61,13130.292241
190.668115,136,13145.335248
122.468321,33,13149.506481
135.837416,45,13154.954369
-73.768079,52,13161.122664
146.452515,74,13169.635203
118.709046,34,13175.7267
158.446633,72,13184.005963
-78.348082,77,13192.818797
119.317569,33,13197.003871
-80.338296,50,13202.978871
-88.222185,86,13212.749648
-55.840418,93,13223.249243
139.570049,59,13230.172295
140.226422,37,13234.786177
156.730901,54,13241.189455
106.258939,142,13256.87676
18.370089,171,13275.622123
154.330478,74,13285.916679
130.778411,54,13292.306421
149.775829,81,13301.555722
-72.779467,48,13307.320301
130.705465,49,13314.99945
124.903467,96,13325.817369
-107.75072,105,13337.596231
157.744747,63,13344.937429
142.381494,158,13362.294287
-87.925182,84,13373.653346
-74.078167,79,13384.47479
119.288025,21,13387.395153
-70.65541,74,13395.903242
122.001513,37,13402.310731
133.245906,46,13407.873054
-60.721344,77,13418.491462
131.201723,64,13425.937398
-70.9053,49,13431.812235
127.5284,81,13441.056579
-73.288115,85,13450.716143
131.212248,43,13456.007975
153.188042,79,13466.839648
154.026602,73,13477.046154
140.48343,59,13483.955008
-71.690414,54,13490.347094
-70.100238,127,13504.430849
142.02204,53,13510.712311
121.468012,43,13516.021423
135.58766,50,13521.993859
-78.827213,59,13528.906192
146.677477,59,13535.827691
-52.657309,88,13547.596203
119.953801,27,13551.135386
170.433729,97,13562.060701
-88.466426,54,13570.251938
114.275901,27,13573.795876
134.07049,84,13583.337799
-101.41529,65,13590.892284
108.096783,150,13607.392327
-68.307027,104,13619.035306
-88.888609,75,13627.650303
150.444219,97,13640.390146
169.526005,104,13652.038846
127.496757,45,13659.281907
-64.6593,70,13667.366422
138.847386,37,13671.971381
172.241073,119,13685.217632
140.961041,107,13697.204012
125.770764,27,13700.763873
